category,paperid,date,num_authors,title
ecology,199208,2017/10/06,7,Demonstration of the potential of environmental DNA as a tool for the detection of avian species
ecology,042341,2017/10/05,6,"Oomycetes during 120,000 years of temperate rainforest ecosystem development"
ecology,204750,2017/10/17,3,Free Aerial Imagery as a Resource to Monitor Compliance with the Endangered Species Act
ecology,060038,2017/10/16,2,Factors affecting genetic connectivity and diversity of the island night lizard.
ecology,203869,2017/10/16,2,"Atmospheric CO2 availability does not equate to increased nodularin production in diazotrophic cyanobacteria, but does induce varying responses in net photosynthesis and N2 fixation rates."
ecology,203885,2017/10/16,4,Coral reef carbonate budgets and ecological drivers in the naturally high temperature and high alkalinity environment of the Red Sea
ecology,111617,2017/10/16,7,Community evolution increases plant productivity at low diversity
ecology,105486,2017/10/15,10,Carbon inputs from riparian vegetation limit oxidation of physically-bound organic carbon via biochemical and thermodynamic processes
ecology,079046,2017/10/13,17,Role of monkeys in the sylvatic cycle of chikungunya virus in Senegal
ecology,201632,2017/10/13,2,Fitting functional responses: Direct parameter estimation by simulating differential equations
ecology,183897,2017/10/12,2,Stochastic microbial community assembly decreases biogeochemical function
ecology,162362,2017/10/12,9,Attributing the variability in direction and magnitude of local-scale marine biodiversity change to human activities
ecology,237891,2018/02/06,5,Going through the motions: incorporating movement analyses into disease research
ecology,259143,2018/02/05,9,Human mediated dispersal of cats in the Neolithic Central Europe
ecology,257154,2018/02/05,1,Using river temperature to optimize fish incubation metabolism and survival: a case for mechanistic models
ecology,259879,2018/02/05,2,Local adaptation primes cold-edge populations for range expansion but not warming-induced range shifts
ecology,130922,2018/02/05,2,Life history variation along an elevational gradient in Plethodon montanus: implications for conservation
ecology,257667,2018/02/05,11,"Haemolymph removal by the parasite Varroa destructor can trigger the proliferation of the Deformed Wing Virus in mite infested bees (Apis mellifera), contributing to enhanced pathogen virulence"
ecology,259697,2018/02/05,6,What drives interaction strengths in complex food webs? A test with feeding rates of a generalist stream predator
ecology,258038,2018/02/01,2,Habitat loss is information loss: Species distribution models are compromised in anthropogenic landscapes
ecology,216986,2018/01/31,6,Diversity loss selects for altered plant phenotypic responses to local arbuscular mycorrhizal communities
ecology,257675,2018/01/31,4,Caterpillars Count! A citizen science project for monitoring foliage arthropod abundance and phenology
ecology,017467,2015/08/10,2,A quantitative review of relationships between ecosystem services
ecology,012476,2015/08/03,1,The effect of nutrient availability on global forest carbon balance is uncertain
ecology,023630,2015/07/31,3,"Comparison of biochemical, histological and morphological response of muscle-based condition indices to varying food levels in pre-flexion Dicentrarchus labrax (L.) larvae"
ecology,023507,2015/07/31,3,Stabilizing the dynamics of laboratory populations of Drosophila melanogaster through upper and lower limiter controls
ecology,023275,2015/07/27,5,Effect of Localization on the Stability of Mutualistic Ecological Networks
ecology,023259,2015/07/26,4,3D tree dimensionality assessment using photogrammetry and small unmanned aerial vehicles
ecology,022533,2015/07/16,9,Floral resource-landscapes and pollinator-mediated interactions in plant communities
ecology,022566,2015/07/15,2,Diversity waves in collapse-driven population dynamics
ecology,021220,2015/06/26,4,Metacommunities in Dynamic Landscapes
ecology,013938,2015/06/19,2,The effect of carbon subsidies on marine planktonic niche partitioning and recruitment during biofilm assembly
ecology,404756,2018/08/31,2,"Local and regional urbanization: Correlates of parasite community composition and richness in the salt marsh fish, Fundulus heteroclitus"
ecology,404376,2018/08/31,4,What we (don't) know about global plant diversity
ecology,399618,2018/08/31,4,Bayesian arrival model for Atlantic salmon smolt counts powered by environmental covariates and expert knowledge
ecology,272161,2018/08/30,2,"Complex associations of environmental factors may explain Blanchard's Cricket Frog, Acris blanchardi, declines and drive population recovery"
ecology,311241,2018/08/30,3,Characterizing animal movement patterns across different scales and habitats using information theory
ecology,404210,2018/08/30,9,Climate as a driver of adaptive variations in ecological strategies in Arabidopsis thaliana
ecology,289348,2018/08/30,1,On the variability of Species Abundance Distributions with trophic guild and community structure
ecology,118257,2018/08/29,2,Characterization of nitrogen deposition by means of atmospheric biomonitors
ecology,402198,2018/08/29,4,A Modelling Exercise to Show Why Population Models Should Incorporate Distinct Life-Histories of Dispersers
ecology,402271,2018/08/29,3,Competition within species determines the value of a mutualism between species
ecology,043372,2016/03/17,6,Relic DNA is abundant in soil and obscures estimates of soil microbial diversity
ecology,044081,2016/03/16,1,Correlation/causation in ecology: towards mechanistic explanations for the Species-Area Relationship
ecology,044008,2016/03/16,5,Effect of stand characteristics on tree species richness in and around a conservation area of Bangladesh
ecology,043331,2016/03/12,3,Demographic stochasticity and resource autocorrelation control biological invasions in heterogeneous landscapes
ecology,043083,2016/03/10,3,The Effects of Evolution and Spatial Structure on Diversity in Biological Reserves
ecology,027235,2016/03/09,7,In silico assessment of primers for eDNA studies using PrimerTree and application to characterize the biodiversity surrounding the Cuyahoga River
ecology,040386,2016/03/09,3,An ecological assessment of the pandemic threat of Zika virus
ecology,041897,2016/03/07,4,Zika Virus: Endemic Versus Epidemic Dynamics and Implications for Disease Spread in the Americas
ecology,037994,2016/03/03,4,Ecological factors rather than barriers to dispersal shape genetic structure of algal symbionts in horizontally-transmitting corals
ecology,024265,2016/02/29,2,"Facing the heat: thermoregulation and behaviour of lowland species of a cold-dwelling butterfly genus, Erebia"
ecology,188607,2017/09/14,2,Four fundamental processes of community assembly
ecology,188409,2017/09/13,5,Stochastic dispersal increases the rate of upstream spread: a case study with green crabs on the northwest Atlantic coast
ecology,113753,2017/09/13,3,No general relationship between mass and temperature in endothermic species
ecology,188227,2017/09/13,14,Epigenome-associated phenotypic acclimatization to ocean acidification in a reef-building coral
ecology,123331,2017/09/12,3,Estimating The Extinction Date Of The Thylacine Accounting For Unconfirmed Sightings
ecology,187799,2017/09/12,4,Inferring critical points of ecosystem transitions from spatial data
ecology,186536,2017/09/11,1,Adult facilitation becomes competition as juvenile soapberry bugs age
ecology,187047,2017/09/10,3,Macroecology suggests cancer-causing papillomaviruses form non-neutral communities
ecology,187021,2017/09/10,5,Phenological responses to multiple environmental drivers under climate change: insights from a long-term observational study and a manipulative field experiment
ecology,186932,2017/09/10,3,Estimates of vital rates and predictions of population dynamics change along a long-term monitoring program
ecology,252478,2018/01/24,1,Canopy cover and structural complexity affect the phylogenetic composition of a pond-dwelling Neotropical anuran metacommunity
ecology,252544,2018/01/23,4,Evidence for subsoil specialization in arbuscular mycorrhizal fungi
ecology,252213,2018/01/23,5,Water stress and CO2 concentration interactions affect carbon isotope signatures of leaf and phloem organic matter
ecology,251926,2018/01/22,4,A constraint-based model reveals hysteresis in island biogeography
ecology,251868,2018/01/22,7,Modeling Avian Full Annual Cycle Distribution and Population Trends with Citizen Science Data
ecology,251249,2018/01/22,3,Asymmetric effects of environmental filtering on the assembly of tropical bird communities along a moisture gradient
ecology,251538,2018/01/22,8,New mining concessions will severely decrease biodiversity and ecosystem services in Ecuador
ecology,145862,2018/01/21,4,Generic assembly patterns in complex ecological communities
ecology,251231,2018/01/21,3,"Effects of shade-coffee certification programs on bird, trees and butterfly diversity in Colombia"
ecology,251264,2018/01/21,3,Climatic effects on turnover of lowland forest bird communities across a precipitation gradient
ecology,482406,2018/12/22,5,Beyond a single patch: local and regional processes explain diversity patterns in a seagrass epifaunal metacommunity
ecology,397364,2018/12/22,10,Empirical analysis and modeling of Argos Doppler location errors in Romania
ecology,504928,2018/12/21,2,Mangrove forest structure and composition along urban gradients in Puerto Rico
ecology,504084,2018/12/21,4,Aspects of invasiveness of Ludwigia and Nelumbo in shallow temperate fluvial lakes
ecology,504605,2018/12/21,3,Phase Transitions in Mutualistic Communities under Invasion
ecology,501155,2018/12/20,2,Soil respiration in a tropical montane grassland ecosystem is largely heterotroph-driven and increases under simulated warming
ecology,385724,2018/12/20,3,Adaptive consumer-resource models can explain diauxic shifts and the violation of the Competitive Exclusion Principle
ecology,502765,2018/12/20,4,Spatio-temporal variation of skeletal Mg-calcite in Antarctic marine calcifiers in a global change scenario
ecology,503078,2018/12/20,3,Established rodent community delays recovery of dominant competitor following experimental disturbance
ecology,500942,2018/12/20,5,Co-occurrence of contrasting life-history strategies in a metapopulation inhabiting temporally variable and stable breeding sites
ecology,348359,2018/06/28,8,"The effects of drought and nutrient addition on soil organisms vary across taxonomic groups, but are constant across seasons"
ecology,355875,2018/06/28,5,Susceptibility of European freshwater fish to climate change: species profiling based on life-history and environmental characteristics
ecology,357814,2018/06/28,5,Occurrence of diamondback moths Plutella xylostella and their parasitoid wasps Cotesia vestalis in mizuna greenhouses and their surrounding areas
ecology,357376,2018/06/28,5,"Assessing the impact of taxon resolution on network structure, with implication for comparative ecology"
ecology,357889,2018/06/28,5,Enhancing Percolation in Phosphatic Clay Using Diatoms under Laboratory Conditions
ecology,357798,2018/06/28,4,blockCV: an R package for generating spatially or environmentally separated folds for k-fold cross-validation of species distribution models
ecology,357459,2018/06/27,3,Adaptive Sampling for Spatial Capture-Recapture: An efficient sampling scheme for rare or patchily distributed species
ecology,356311,2018/06/27,4,Overwhelming presence of non-food vegetation undermines the reliability of NDVI as a surrogate of forage abundance for a large herbivore in a tropical forest habitat
ecology,356980,2018/06/27,5,Resource co-limited growth in fluctuating environments
ecology,356360,2018/06/27,3,The filtering metaphor revisited: competition and environment jointly structure invasibility and coexistence
ecology,165282,2017/07/18,4,Are the adverse effects of stressors on amphibians mediated by their effects on stress hormones?
ecology,040659,2017/07/18,2,Eco-evolutionary buffering: rapid evolution facilitates regional species coexistence despite local priority effects
ecology,165019,2017/07/18,10,Drones count wildlife more accurately and precisely than humans
ecology,164673,2017/07/18,1,Atrazine and amphibians: Data re-analysis and a summary of the controversy
ecology,164566,2017/07/18,3,A floristic survey of Fair Isle
ecology,164814,2017/07/18,5,Thermal mismatches explain how climate change and infectious disease drove widespread amphibian extinctions
ecology,164806,2017/07/18,3,A global synthesis of phenological responses to climate change
ecology,164293,2017/07/17,7,Model-based analysis of experimental hut data elucidates multifaceted effects of a volatile chemical on Aedes aegypti mosquitoes
ecology,163899,2017/07/15,10,Disequilibrium of fire-prone forests sets the stage for a rapid decline in conifer dominance during the 21st century
ecology,163774,2017/07/15,8,Ecological selection of siderophore-producing microbial taxa in response to heavy metal contamination
ecology,135558,2017/05/11,35,"The Kobresia pygmaea Ecosystem Of The Tibetan Highlands: Origin, Functioning And Degradation Of The World's Largest Pastoral Alpine Ecosystem"
ecology,135210,2017/05/09,9,Sex-Specific Changes In Gene Expression And Delayed Sex Differentiation In Response To Estrogen Pollution In Grayling (Salmonidae)
ecology,135582,2017/05/09,7,The Paradox Of Constant Oceanic Plastic Debris: Evidence For Evolved Microbial Biodegradation?
ecology,134221,2017/05/07,1,Malthusian Catastrophe: Species Extinction Caused By Oversized Population
ecology,134833,2017/05/05,4,Food Webs Over Time: Evaluating The Variability Of Degree Distribution On Ecological Networks
ecology,052266,2017/05/02,1,EM and component-wise boosting for Hidden Markov Models: a machine-learning approach to capture-recapture
ecology,096164,2017/05/01,16,"Multidisciplinary field research in Kabwe, Zambia, towards better understanding of lead contamination of the city - A short report from a field survey"
ecology,132753,2017/05/01,9,Modeling Zero-Inflated Count Data With glmmTMB
ecology,132522,2017/04/30,5,Caterpillars lack a resident gut microbiome
ecology,104505,2017/04/28,3,Partitioning the effects of eco-evolutionary feedbacks on community stability
ecology,069427,2016/08/14,2,climwin: An R Toolbox for Climate Window Analysis
ecology,069203,2016/08/12,3,Stochastic competitive exclusion leads to a cascade of species extinctions
ecology,061549,2016/08/11,3,Genetic Allee effects and their interaction with ecological Allee effects
ecology,068734,2016/08/10,3,"A comparison of Species Distribution Modeling approaches for an under-sampled parasite of public health importance, Echinococcus multilocularis."
ecology,068544,2016/08/09,1,Remnant American Chestnut (Castanea dentata (Marsh.) Borkh.; Fagaceae) in Upland Forests of Northwestern New York
ecology,068551,2016/08/09,15,Environmental DNA enables detection of terrestrial mammals from forest pond water
ecology,068387,2016/08/08,2,"The fishing and natural mortality of large, piscivorous Bull Trout and Rainbow Trout in Kootenay Lake, British Columbia (2008-2013)"
ecology,029801,2016/08/08,3,"The Abundance of Large Piscivorous Ferox Trout (Salmo trutta) in Loch Rannoch, Scotland"
ecology,068171,2016/08/05,6,Sympatry with the devil? Niche-based approach explains the mechanisms allowing 1 coexistence of native and non-native salmonids
ecology,067306,2016/08/02,5,Fungi exposed to chronic nitrogen enrichment are less able to decay leaf litter
ecology,303057,2018/04/17,3,Limited Introgression Supports Division of Giraffe into Four Species
ecology,302810,2018/04/17,4,A geometric approach to scaling individual distributions to macroecological patterns
ecology,301630,2018/04/14,7,"A zero percent plastic ingestion rate by silver hake (Merluccius bilinearis) from the south coast of Newfoundland, Canada"
ecology,301143,2018/04/14,2,npphen: an R-package for non-parametric reconstruction of vegetation phenology and anomaly detection using remote sensing
ecology,300210,2018/04/13,2,Mathematical and ecological traits of above and below ground biomass production of beech (Fagus silvatica L.) trees growing in pure even-aged stands in north-east France
ecology,299982,2018/04/13,5,Spatial Mark-Resight for Categorically Marked Populations with an Application to Genetic Capture-Recapture
ecology,299693,2018/04/13,5,Mapping Social Ecological Systems Archetypes
ecology,300590,2018/04/13,4,Biotic interactions limit the geographic range of an annual plant: herbivory and phenology mediate fitness beyond a range margin
ecology,299529,2018/04/11,13,Heterogeneous exposure and hotspots for malaria vectors at three study sites in Uganda
ecology,295923,2018/04/11,3,Which food patches are worth exploring? Foraging desert birds do not follow environmental indicators of seed abundance at small scales: a field experiment
ecology,289876,2018/03/28,5,Climate change and the potential distribution of Xylella fastidiosa in Europe
ecology,289819,2018/03/28,3,Parasitism effects on coexistence and stability within simple trophic modules
ecology,290460,2018/03/28,2,"Adaptive harvesting drives fishing down processes, regime shifts, and resilience changes in predator-prey systems"
ecology,283895,2018/03/27,4,Benefits And Limitations Of Three-Dimensional Printing Technology For Ecological Research
ecology,290213,2018/03/27,2,Mass Amphibian Mortality during Overwintering Related To Fungal Pathogen But Not Larval Environment: An Explanation for Declines?
ecology,290239,2018/03/27,2,Host Diet Influences Lethal and Sublethal Responses of Hosts to Amphibian Pathogen Exposure
ecology,233429,2018/03/27,4,Patchiness and scale-free correlations: characterising criticality in ecosystems.
ecology,260729,2018/03/27,5,High carnivore population density highlights the conservation value of industrialised sites
ecology,214924,2018/03/26,4,Urbanization-driven changes in web-building are decoupled from body size in an orb-web spider
ecology,096875,2018/03/24,2,Rescuing Troves of Data to Tackle Emerging Mosquito-Borne Diseases
ecology,111153,2017/02/23,3,The spatial and metabolic basis of colony size variation
ecology,058628,2017/02/21,8,"Metabarcoding of unfractionated water samples relates phyto-, zoo- and bacterioplankton dynamics and reveals a single-taxon bacterial bloom"
ecology,109074,2017/02/20,8,Using eDNA to Detect the Distribution and Density of Invasive Crayfish in the Honghe-Hani Rice Terrace World Heritage Site
ecology,109538,2017/02/17,5,Using remote camera traps to assess mammal and bird assemblages across a complex environmental landscape
ecology,109504,2017/02/17,13,HistMapR: Rapid digitization of historical land-use maps in R
ecology,109280,2017/02/17,5,Proper experimental design requires randomization/balancing of molecular ecology experiments
ecology,109025,2017/02/16,1,Spatial Variation of Soil Moisture and its Effect on Lint Yield in a Deficit Irrigated Cotton Field
ecology,109041,2017/02/16,2,Estimating environmental suitability
ecology,108712,2017/02/15,5,Health quality of seed potato and yield losses in Ecuador
ecology,108696,2017/02/15,9,Thermal adaptation constrains the temperature dependence of ecosystem metabolism
ecology,418970,2018/09/17,7,Two dispersers are better than one: a 'bird-fig' attracts bats via nocturnal scent
ecology,418590,2018/09/16,8,Quantitative multi-locus metabarcoding and waggle dance interpretation reveal honey bee spring foraging patterns in Midwest agroecosystems
ecology,416834,2018/09/14,6,Inoculation with Pisolithus tinctorius may ameliorate acid rain impacts on soil microbial communities associated with Pinus massoniana seedlings
ecology,416693,2018/09/14,3,Expansion history and environmental suitability shape effective population size in a plant invasion
ecology,416818,2018/09/14,6,Fungal community assembly in soils and roots under plant invasion and nitrogen deposition
ecology,418301,2018/09/14,14,Functional composition rather than species richness drive carbon gain and allocation in experimental grasslands
ecology,418285,2018/09/14,6,Automatic interpretation of otoliths using deep learning
ecology,416297,2018/09/13,11,Specific metabolic signatures of fish exposed to cyanobacterial blooms
ecology,337972,2018/09/12,6,Habitat heterogeneity drives scale-dependent biodiversity loss in a temperate marine ecosystem
ecology,328112,2018/09/12,4,The community and ecosystem consequences of intraspecific diversity: a meta-analysis
ecology,102459,2017/01/23,6,Prolonged exposure does not increase soil microbial community response to warming along geothermal gradients
ecology,101675,2017/01/20,4,Interactive effects of shifting body size and feeding adaptation drive interaction strengths of protist predators under warming
ecology,035576,2017/01/19,6,Riparian ecosystem in the alpine connectome. Terrestrial-aquatic and terrestrial-terrestrial interactions in high elevation lakes
ecology,098624,2017/01/15,4,"Selectivity matters: rules of thumb for management of plate-sized, sex-changing fish in the live reef food fish trade"
ecology,092452,2017/01/15,6,Use of phenylacetonitrile plus acetic acid to monitor Pandemis pyrusana (Lepidoptera: Tortricidae) in apple
ecology,099978,2017/01/13,3,"Interactions between ecological, evolutionary, and environmental processes unveil complex dynamics of island biodiversity"
ecology,100289,2017/01/13,4,Effects of time and isolation on plant diversity: testing island biogeography theory with an eco-evolutionary model
ecology,075895,2017/01/13,6,Determinants and patterns of the endangered brown bear Ursus arctos habitat use in the French Pyrenees revealed by occupancy modeling
ecology,088518,2017/01/12,8,Deterministic influences exceed dispersal effects on hydrologically-connected microbiomes
ecology,099424,2017/01/11,7,Mapping and explaining wolf recolonization in France using dynamic occupancy models and opportunistic data
ecology,224188,2017/11/24,3,Effects of increased N and P availability on biomass allocation and root carbohydrate reserves differ between N-fixing and non-N-fixing savanna tree seedlings
ecology,223651,2017/11/24,1,The feasibility and stability of large complex biological networks: a random matrix approach
ecology,186981,2017/11/24,5,Unmasking cellular response of a bloom-forming alga to virus infection by resolving expression profiling at a single-cell level
ecology,064543,2017/11/23,3,Balance between resource supply and demand determines nutrient limitation of primary productivity in the ocean
ecology,224097,2017/11/22,3,The perfect storm: Extreme weather drives and predation maintains phase shift in dominant Chesapeake Bay bivalve
ecology,223529,2017/11/21,5,On the proportional abundance of species: Integrating population genetics and community ecology
ecology,192013,2017/11/21,4,A structural approach to disentangle the visualization of bipartite biological networks
ecology,042572,2017/11/19,5,Symmetric assembly and disassembly processes in an ecological network
ecology,108175,2017/11/18,3,Population dynamics of mutualism and intraspecific density dependence: how θ-logistic density dependence affects mutualistic positive feedback
ecology,221440,2017/11/17,9,Diel predator activity drives a dynamic landscape of fear
ecology,543934,2019/02/08,4,Spatial eco-evolutionary feedbacks mediate coexistence in prey-predator systems
ecology,544825,2019/02/08,8,"A 50-year series of mark-recapture data of large-sized brown trout (Salmo trutta) from Lake Mjøsa, Norway"
ecology,544742,2019/02/08,10,Estimating cause- and size- specific mortality hazard rates using mark-recapture-recovery data
ecology,530782,2019/02/08,1,"A compilation of and typology for abundance-, phylogenetic- and functional-based diversity metrics"
ecology,543637,2019/02/08,3,Temporal switching of species roles in a plant-pollinator network
ecology,543181,2019/02/08,1,Using extreme gradient boosting (XGBoost) to evaluate the importance of a suite of environmental variables and to predict recruitment of young-of-the-year spotted seatrout in Florida
ecology,541847,2019/02/08,5,Adverse effects of Bacillus thuringiensis bioinsecticide on non-target Drosophila species
ecology,544007,2019/02/08,2,"Parasitology, Poverty and Prevention: is there any relationship between the three P? Is it possible to eradicate Parasitic diseases without eliminating Poverty?"
ecology,541052,2019/02/08,13,Microbial biogeography and ecology of the mouth and implications for periodontal diseases
ecology,543512,2019/02/08,4,"Long-term vegetation change in species-rich Nardus grasslands of central Germany caused by eutrophication, recovery from acidification and management change"
ecology,124743,2017/04/06,2,Host traits drive viral life histories across phytoplankton viruses
ecology,124511,2017/04/05,1,"Niche characteristics and potential distribution of Thelocactus species, a Mexican genus of globular cacti."
ecology,067793,2017/04/01,4,The genealogical decomposition of a matrix population model with applications to the aggregation of stages
ecology,098384,2017/03/31,3,The relationship between species richness and ecosystem variability is shaped by the mechanism of coexistence
ecology,080697,2017/03/31,4,An equation-free method reveals the ecological interaction networks within complex microbial ecosystems
